Tag,Words
1,"company, based, business, founded, record, records, bergen, systems, services, products, office, buses, located, distribution, national, health, virgin, established, also, regional"
2,"school, high, located, university, college, public, schools, students, education, district, county, founded, one, new, united, established, independent, city, part, catholic"
3,"born, american, known, new, band, writer, best, rock, musician, music, work, also, singer, york, books, author, album, university, series, united"
4,"born, football, played, league, professional, player, plays, footballer, former, national, american, also, hockey, currently, rugby, team, australian, november, world, new"
5,"born, member, district, politician, state, senate, democratic, house, party, served, former, county, since, representatives, republican, united, elected, american, representing, national"
6,"navy, built, war, ship, uss, united, class, aircraft, world, states, launched, service, named, first, designed, royal, commissioned, american, ii, us"
7,"historic, house, built, located, church, building, national, register, places, listed, county, street, united, known, museum, also, states, designed, added, hospital"
8,"river, lake, mountain, located, south, km, north, county, near, tributary, west, range, lies, creek, crater, east, ft, state, flows, pass"
9,"village, district, population, province, located, census, municipality, nepal, state, india, county, km, people, within, 2010, 1991, south, township, central, southern"
10,"family, species, found, genus, moth, gastropod, sea, known, marine, described, tropical, snail, mollusk, endemic, subtropical, habitat, natural, forests, snails, moist"
11,"species, family, plant, genus, native, endemic, flowering, known, found, common, plants, leaves, habitat, tree, grows, name, orchid, south, bulbophyllum, perennial"
12,"album, released, band, records, first, studio, american, songs, music, second, release, recorded, rock, debut, live, tracks, label, albums, new, ep"
13,"film, directed, starring, american, stars, released, written, based, drama, comedy, produced, also, films, silent, first, movie, roles, novel, name, documentary"
14,"published, book, novel, first, journal, written, series, newspaper, american, story, author, new, magazine, fiction, books, peerreviewed, also, science, publication, life"
